date,date_string,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code,scaled
2014-12-02,02.12.2014,450.0,"450,00","450,00","450,00","47,54",180,81.000,ADIN,0.003576085826059825
2014-12-04,04.12.2014,409.0,"409,00","409,00","409,00","-9,11",100,40.900,ADIN,0.0032480779538708923
2014-12-05,05.12.2014,410.0,"410,00","410,00","410,00","0,24",683,280.030,ADIN,0.0032560781458755004
2014-12-22,22.12.2014,357.0,"357,00","357,00","357,00","-12,93",100,35.700,ADIN,0.002832067969631271
2015-01-26,26.1.2015,367.0,"367,00","367,00","367,00","2,80",25,9.175,ADIN,0.002912069889677352
2015-02-02,02.2.2015,367.0,"367,00","367,00","367,00","0,00",575,211.025,ADIN,0.002912069889677352
2015-02-03,03.2.2015,367.0,"367,00","367,00","367,00","0,00",396,145.332,ADIN,0.002912069889677352
2015-02-13,13.2.2015,367.0,"367,00","367,00","367,00","0,00",50,18.350,ADIN,0.002912069889677352
2015-03-25,25.3.2015,375.0,"375,00","375,00","375,00","2,18",5,1.875,ADIN,0.0029760714257142168
2015-04-14,14.4.2015,310.0,"310,00","310,00","310,00","-17,33",100,31.000,ADIN,0.00245605894541469
2015-06-25,25.6.2015,250.0,"250,00","250,00","250,00","-19,35",576,144.000,ADIN,0.001976047425138203
2015-08-18,18.8.2015,265.0,"265,00","265,00","265,00","6,00",1.467,388.755,ADIN,0.0020960503052073246
2015-10-05,05.10.2015,300.0,"300,00","300,00","300,00","13,21",100,30.000,ADIN,0.0023760570253686087
2015-10-22,22.10.2015,300.0,"300,00","300,00","300,00","0,00",446,133.800,ADIN,0.0023760570253686087
2015-10-28,28.10.2015,299.0,"299,00","299,00","299,00","-0,33",330,98.670,ADIN,0.0023680568333640005
2015-10-30,30.10.2015,299.0,"299,00","299,00","299,00","0,00",50,14.950,ADIN,0.0023680568333640005
2015-11-04,04.11.2015,270.0,"270,00","270,00","270,00","-9,70",1.167,315.090,ADIN,0.0021360512652303654
2015-11-05,05.11.2015,290.0,"290,00","290,00","290,00","7,41",100,29.000,ADIN,0.0022960551053225276
2015-11-10,10.11.2015,290.0,"290,00","290,00","290,00","0,00",200,58.000,ADIN,0.0022960551053225276
2015-11-19,19.11.2015,290.0,"290,00","290,00","290,00","0,00",54,15.660,ADIN,0.0022960551053225276
2015-11-25,25.11.2015,345.0,"345,00","345,00","345,00","18,97",60,20.700,ADIN,0.0027360656655759734
2015-12-24,24.12.2015,345.0,"345,00","345,00","345,00","0,00",10,3.450,ADIN,0.0027360656655759734
2016-01-05,05.1.2016,345.0,"345,00","345,00","345,00","0,00",50,17.250,ADIN,0.0027360656655759734
2016-03-04,04.3.2016,311.0,"311,00","311,00","311,00","-9,86",50,15.550,ADIN,0.0024640591374192975
2016-03-09,09.3.2016,340.0,"340,00","340,00","340,00","9,32",90,30.600,ADIN,0.0026960647055529327
2016-03-11,11.3.2016,339.0,"339,00","339,00","339,00","-0,29",41,13.899,ADIN,0.002688064513548325
2016-03-15,15.3.2016,338.0,"338,00","338,00","338,00","-0,29",30,10.140,ADIN,0.002680064321543717
2016-03-22,22.3.2016,335.0,"335,00","335,00","335,00","-0,89",30,10.050,ADIN,0.0026560637455298923
2016-03-31,31.3.2016,325.0,"325,00","325,00","325,00","-2,99",1.115,362.375,ADIN,0.0025760618254838112
2016-04-01,01.4.2016,300.0,"300,00","300,00","300,00","-7,69",1.150,345.000,ADIN,0.0023760570253686087
2016-04-05,05.4.2016,300.0,"300,00","300,00","300,00","0,00",750,225.000,ADIN,0.0023760570253686087
2016-05-03,03.5.2016,299.0,"299,00","299,00","299,00","-0,33",500,149.500,ADIN,0.0023680568333640005
2016-05-05,05.5.2016,300.0,"300,00","300,00","300,00","0,33",70,21.000,ADIN,0.0023760570253686087
2016-05-18,18.5.2016,299.0,"299,00","299,00","299,00","-0,33",200,59.800,ADIN,0.0023680568333640005
2016-05-23,23.5.2016,300.0,"300,00","300,00","300,00","0,33",1.157,347.100,ADIN,0.0023760570253686087
2016-05-31,31.5.2016,301.0,"301,00","301,00","301,00","0,33",110,33.110,ADIN,0.0023840572173732164
2016-06-01,01.6.2016,300.0,"300,00","300,00","300,00","-0,33",350,105.000,ADIN,0.0023760570253686087
2016-06-03,03.6.2016,300.0,"300,00","300,00","300,00","0,00",100,30.000,ADIN,0.0023760570253686087
2016-06-23,23.6.2016,300.0,"300,00","280,00","297,78","-0,74",180,53.600,ADIN,0.0023760570253686087
2016-08-05,05.8.2016,310.0,"310,00","306,00","306,80","3,03",500,153.400,ADIN,0.00245605894541469
2016-08-08,08.8.2016,310.0,"310,00","310,00","310,00","1,04",80,24.800,ADIN,0.00245605894541469
2016-08-10,10.8.2016,329.0,"329,00","329,00","329,00","6,13",100,32.900,ADIN,0.002608062593502244
2016-08-15,15.8.2016,330.0,"330,00","329,00","329,49","0,15",226,74.464,ADIN,0.0026160627855068516
2016-08-23,23.8.2016,320.0,"320,00","320,00","320,00","-2,88",20,6.400,ADIN,0.002536060865460771
2016-08-25,25.8.2016,350.0,"350,00","350,00","350,00","9,38",35,12.250,ADIN,0.0027760666255990138
2016-09-01,01.9.2016,385.0,"385,00","385,00","385,00","10,00",20,7.700,ADIN,0.003056073345760298
2016-09-06,06.9.2016,385.0,"385,00","385,00","385,00","0,00",25,9.625,ADIN,0.003056073345760298
2016-10-05,05.10.2016,385.0,"385,00","385,00","385,00","0,00",1.258,484.330,ADIN,0.003056073345760298
2016-10-06,06.10.2016,400.0,"400,00","400,00","400,00","3,90",196,78.400,ADIN,0.0031760762258294193
2016-10-19,19.10.2016,412.0,"412,00","412,00","412,00","3,00",356,146.672,ADIN,0.0032720785298847167
2016-10-21,21.10.2016,453.0,"453,00","453,00","453,00","9,95",1.500,679.500,ADIN,0.0036000864020736493
2016-10-26,26.10.2016,466.0,"466,00","466,00","466,00","2,87",5,2.330,ADIN,0.003704088898133555
2016-10-31,31.10.2016,481.0,"481,00","481,00","481,00","3,22",160,76.960,ADIN,0.0038240917782026763
2016-11-01,01.11.2016,495.0,"495,00","495,00","495,00","2,91",199,98.505,ADIN,0.00393609446626719
2016-11-02,02.11.2016,500.0,"500,00","500,00","500,00","1,01",200,100.000,ADIN,0.003976095426290231
2016-11-09,09.11.2016,500.0,"500,00","500,00","500,00","0,00",200,100.000,ADIN,0.003976095426290231
2016-11-14,14.11.2016,550.0,"550,00","550,00","550,00","10,00",100,55.000,ADIN,0.004376105026520636
2016-11-15,15.11.2016,550.0,"550,00","550,00","550,00","0,00",90,49.500,ADIN,0.004376105026520636
2016-11-18,18.11.2016,600.0,"600,00","600,00","600,00","9,09",100,60.000,ADIN,0.004776114626751042
2016-12-14,14.12.2016,550.0,"550,00","550,00","550,00","-8,33",40,22.000,ADIN,0.004376105026520636
2016-12-15,15.12.2016,550.0,"550,00","550,00","550,00","0,00",672,369.600,ADIN,0.004376105026520636
2016-12-21,21.12.2016,605.0,"605,00","605,00","605,00","10,00",8.428,5.098.940,ADIN,0.004816115586774083
2016-12-26,26.12.2016,605.0,"605,00","605,00","605,00","0,00",1.599,967.395,ADIN,0.004816115586774083
2016-12-29,29.12.2016,665.0,"665,00","665,00","665,00","9,92",50,33.250,ADIN,0.005296127107050569
2017-01-03,03.1.2017,731.0,"731,00","731,00","731,00","9,92",40,29.240,ADIN,0.005824139779354704
2017-02-15,15.2.2017,731.0,"731,00","731,00","731,00","0,00",40,29.240,ADIN,0.005824139779354704
2017-02-16,16.2.2017,750.0,"750,00","750,00","750,00","2,60",60,45.000,ADIN,0.005976143427442258
2017-02-17,17.2.2017,728.0,"728,00","728,00","728,00","-2,93",30,21.840,ADIN,0.00580013920334088
2017-02-24,24.2.2017,707.0,"707,00","707,00","707,00","-2,88",20,14.140,ADIN,0.00563213517124411
2017-02-28,28.2.2017,707.0,"707,00","707,00","707,00","0,00",30,21.210,ADIN,0.00563213517124411
2017-03-01,01.3.2017,686.0,"686,00","686,00","686,00","-2,97",490,336.140,ADIN,0.005464131139147339
2017-03-06,06.3.2017,730.0,"730,00","630,00","692,50","0,95",40,27.700,ADIN,0.005816139587350096
2017-03-07,07.3.2017,730.0,"730,00","730,00","730,00","5,42",155,113.150,ADIN,0.005816139587350096
2017-03-13,13.3.2017,657.0,"657,00","657,00","657,00","-10,00",15,9.855,ADIN,0.005232125571013704
2017-03-23,23.3.2017,639.0,"639,00","639,00","639,00","-2,74",5,3.195,ADIN,0.005088122114930758
2017-03-27,27.3.2017,700.0,"700,00","700,00","700,00","9,55",5,3.500,ADIN,0.0055761338272118524
2017-03-29,29.3.2017,639.0,"639,00","639,00","639,00","-8,71",127,81.153,ADIN,0.005088122114930758
2017-04-04,04.4.2017,640.0,"640,00","640,00","640,00","0,16",1.000,640.000,ADIN,0.005096122306935367
2017-04-07,07.4.2017,601.0,"601,00","601,00","601,00","-6,09",10,6.010,ADIN,0.00478411481875565
2017-04-19,19.4.2017,640.0,"640,00","640,00","640,00","6,49",666,426.240,ADIN,0.005096122306935367
2017-04-25,25.4.2017,680.0,"680,00","680,00","680,00","6,25",18.308,12.449.440,ADIN,0.00541612998711969
2017-04-27,27.4.2017,680.0,"680,00","680,00","680,00","0,00",1.288,875.840,ADIN,0.00541612998711969
2017-09-07,07.9.2017,659.0,"659,00","659,00","659,00","-3,09",100,65.900,ADIN,0.00524812595502292
2017-10-27,27.10.2017,550.0,"550,00","550,00","550,00","-16,54",500,275.000,ADIN,0.004376105026520636
2017-11-02,02.11.2017,550.0,"550,00","550,00","550,00","0,00",30,16.500,ADIN,0.004376105026520636
2017-11-07,07.11.2017,566.0,"566,00","566,00","566,00","2,91",600,339.600,ADIN,0.004504108098594366
2017-11-16,16.11.2017,550.0,"550,00","550,00","550,00","-2,83",10,5.500,ADIN,0.004376105026520636
2017-11-20,20.11.2017,550.0,"550,00","550,00","550,00","0,00",350,192.500,ADIN,0.004376105026520636
2017-11-21,21.11.2017,540.0,"540,00","540,00","540,00","-1,82",120,64.800,ADIN,0.004296103106474556
2017-11-24,24.11.2017,534.0,"534,00","534,00","534,00","-1,11",200,106.800,ADIN,0.004248101954446907
2018-01-04,04.1.2018,518.0,"518,00","518,00","518,00","-3,00",350,181.300,ADIN,0.004120098882373177
2018-01-29,29.1.2018,490.0,"490,00","490,00","490,00","-5,41",110,53.900,ADIN,0.0038960935062441492
2018-02-14,14.2.2018,490.0,"490,00","490,00","490,00","0,00",200,98.000,ADIN,0.0038960935062441492
2018-03-07,07.3.2018,490.0,"490,00","490,00","490,00","0,00",50,24.500,ADIN,0.0038960935062441492
2018-07-25,25.7.2018,558.0,"558,00","558,00","558,00","13,88",105,58.590,ADIN,0.0044401065625575015
2018-08-16,16.8.2018,558.0,"558,00","558,00","558,00","0,00",320,178.560,ADIN,0.0044401065625575015
2018-08-23,23.8.2018,574.0,"574,00","574,00","574,00","2,87",500,287.000,ADIN,0.004568109634631231
2018-09-17,17.9.2018,557.0,"557,00","557,00","557,00","-2,96",360,200.520,ADIN,0.004432106370552893
2018-09-20,20.9.2018,560.0,"560,00","560,00","560,00","0,54",500,280.000,ADIN,0.004456106946566718
2018-09-24,24.9.2018,560.0,"560,00","560,00","560,00","0,00",15,8.400,ADIN,0.004456106946566718
2018-11-01,01.11.2018,618.0,"618,00","618,00","618,00","10,36",360,222.480,ADIN,0.004920118082833988
2018-11-28,28.11.2018,700.0,"700,00","700,00","700,00","13,27",270,189.000,ADIN,0.0055761338272118524
2018-11-29,29.11.2018,700.0,"700,00","700,00","700,00","0,00",80,56.000,ADIN,0.0055761338272118524
2018-12-18,18.12.2018,660.0,"660,00","660,00","660,00","-5,71",400,264.000,ADIN,0.005256126147027528
2018-12-26,26.12.2018,660.0,"660,00","660,00","660,00","0,00",50,33.000,ADIN,0.005256126147027528
2019-02-14,14.2.2019,660.0,"660,00","660,00","660,00","0,00",1.000,660.000,ADIN,0.005256126147027528
2019-03-04,04.3.2019,691.0,"691,00","691,00","691,00","4,70",380,262.580,ADIN,0.0055041320991703795
2019-03-22,22.3.2019,691.0,"691,00","691,00","691,00","0,00",100,69.100,ADIN,0.0055041320991703795
2019-04-17,17.4.2019,648.0,"648,00","648,00","648,00","-6,22",150,97.200,ADIN,0.005160123842972231
2019-04-19,19.4.2019,648.0,"648,00","648,00","648,00","0,00",20,12.960,ADIN,0.005160123842972231
2019-05-29,29.5.2019,700.0,"700,00","700,00","700,00","8,02",885,619.500,ADIN,0.0055761338272118524
2019-06-21,21.6.2019,679.0,"679,00","679,00","679,00","-3,00",400,271.600,ADIN,0.0054081297951150825
2019-08-08,08.8.2019,620.0,"620,00","620,00","620,00","-8,69",1.504,932.480,ADIN,0.0049361184668432045
2019-08-14,14.8.2019,620.0,"620,00","620,00","620,00","0,00",100,62.000,ADIN,0.0049361184668432045
2019-08-27,27.8.2019,660.0,"660,00","660,00","660,00","6,45",2.940,1.940.400,ADIN,0.005256126147027528
2019-09-03,03.9.2019,679.0,"679,00","679,00","679,00","2,88",115,78.085,ADIN,0.0054081297951150825
2019-09-19,19.9.2019,660.0,"660,00","660,00","660,00","-2,80",300,198.000,ADIN,0.005256126147027528
2020-06-29,29.6.2020,600.0,"600,00","600,00","600,00","-9,09",300,180.000,ADIN,0.004776114626751042
2020-06-30,30.6.2020,618.0,"618,00","618,00","618,00","3,00",1.000,618.000,ADIN,0.004920118082833988
2020-07-02,02.7.2020,618.0,"618,00","618,00","618,00","0,00",150,92.700,ADIN,0.004920118082833988
2020-07-06,06.7.2020,618.0,"618,00","618,00","618,00","0,00",100,61.800,ADIN,0.004920118082833988
2020-07-30,30.7.2020,618.0,"618,00","618,00","618,00","0,00",200,123.600,ADIN,0.004920118082833988
2020-08-05,05.8.2020,618.0,"618,00","618,00","618,00","0,00",2.400,1.483.200,ADIN,0.004920118082833988
2020-11-12,12.11.2020,666.0,"666,00","666,00","666,00","7,77",15,9.990,ADIN,0.005304127299055177
2020-11-13,13.11.2020,700.0,"700,00","700,00","700,00","5,11",185,129.500,ADIN,0.0055761338272118524
2020-11-16,16.11.2020,700.0,"700,00","700,00","700,00","0,00",300,210.000,ADIN,0.0055761338272118524
2020-11-18,18.11.2020,700.0,"700,00","700,00","700,00","0,00",340,238.000,ADIN,0.0055761338272118524
2020-11-23,23.11.2020,699.0,"699,00","699,00","699,00","-0,14",200,139.800,ADIN,0.005568133635207245
2020-11-24,24.11.2020,700.0,"700,00","700,00","700,00","0,14",360,252.000,ADIN,0.0055761338272118524
2020-11-26,26.11.2020,700.0,"700,00","700,00","700,00","0,00",70,49.000,ADIN,0.0055761338272118524
2020-12-14,14.12.2020,679.0,"679,00","679,00","679,00","-3,00",25,16.975,ADIN,0.0054081297951150825
2021-01-05,05.1.2021,679.0,"679,00","679,00","679,00","0,00",22,14.938,ADIN,0.0054081297951150825
2021-01-18,18.1.2021,690.0,"690,00","690,00","690,00","1,62",40,27.600,ADIN,0.005496131907165772
2021-01-20,20.1.2021,690.0,"690,00","690,00","690,00","0,00",129,89.010,ADIN,0.005496131907165772
2021-01-21,21.1.2021,690.0,"690,00","690,00","690,00","0,00",129,89.010,ADIN,0.005496131907165772
2021-02-16,16.2.2021,701.0,"701,00","701,00","701,00","1,59",50,35.050,ADIN,0.005584134019216461
2021-02-23,23.2.2021,731.0,"731,00","731,00","731,00","4,28",168,122.808,ADIN,0.005824139779354704
2021-03-01,01.3.2021,750.0,"750,00","750,00","750,00","2,60",170,127.500,ADIN,0.005976143427442258
2021-03-12,12.3.2021,750.0,"750,00","750,00","750,00","0,00",50,37.500,ADIN,0.005976143427442258
2021-03-25,25.3.2021,750.0,"750,00","750,00","750,00","0,00",450,337.500,ADIN,0.005976143427442258
2021-04-23,23.4.2021,750.0,"750,00","750,00","750,00","0,00",50,37.500,ADIN,0.005976143427442258
2021-04-28,28.4.2021,750.0,"750,00","750,00","750,00","0,00",120,90.000,ADIN,0.005976143427442258
2021-05-05,05.5.2021,750.0,"750,00","750,00","750,00","0,00",50,37.500,ADIN,0.005976143427442258
2021-05-14,14.5.2021,633.0,"633,00","633,00","633,00","-15,60",100,63.300,ADIN,0.005040120962903109
2021-06-30,30.6.2021,661.0,"661,00","661,00","661,00","4,42",50,33.050,ADIN,0.005264126339032137
2021-07-27,27.7.2021,652.0,"652,00","652,00","652,00","-1,36",50,32.600,ADIN,0.005192124610990664
2021-09-21,21.9.2021,681.0,"681,00","681,00","681,00","4,45",50,34.050,ADIN,0.005424130179124299
