date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
08.11.2024,"2.635,00",,,"2.635,00","0,00",0,0,TETE
08.11.2024,"2.635,00",,,"2.635,00","0,00",0.0,0,TETE
08.11.2024,"2.635,00",,,"2.635,00","0,00",0.0,0,TETE
08.11.2024,"2.635,00",,,"2.635,00","0,00",0.0,0,TETE
07.11.2024,"2.635,00","2.635,00","2.635,00","2.635,00","-2,98",160.0,421.600,TETE
06.11.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
05.11.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
04.11.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
01.11.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
31.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
30.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
29.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
28.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
25.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
24.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
22.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
21.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
18.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
17.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
16.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
15.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
14.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
10.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
09.10.2024,"2.716,00",,,"2.716,00","0,00",0.0,0,TETE
08.10.2024,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",70.0,190.120,TETE
07.10.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
04.10.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
03.10.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
02.10.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
01.10.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
30.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
27.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
26.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
25.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
24.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
23.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
20.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
19.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
18.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
17.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
16.9.2024,"2.800,00",,,"2.800,00","0,00",0.0,0,TETE
13.9.2024,"2.800,00","2.800,00","2.800,00","2.800,00","-1,75",40.0,112.000,TETE
12.9.2024,"2.850,00",,,"2.850,00","0,00",0.0,0,TETE
11.9.2024,"2.850,00",,,"2.850,00","0,00",0.0,0,TETE
10.9.2024,"2.850,00",,,"2.850,00","0,00",0.0,0,TETE
06.9.2024,"2.850,00","2.850,00","2.850,00","2.850,00","0,00",17.0,48.450,TETE
05.9.2024,"2.850,00",,,"2.850,00","0,00",0.0,0,TETE
04.9.2024,"2.850,00",,,"2.850,00","0,00",0.0,0,TETE
03.9.2024,"2.850,00","2.850,00","2.850,00","2.850,00","-1,69",50.0,142.500,TETE
02.9.2024,"2.899,00",,,"2.899,00","0,00",0.0,0,TETE
30.8.2024,"2.899,00","2.899,00","2.899,00","2.899,00","-1,73",95.0,275.405,TETE
29.8.2024,"2.950,00",,,"2.950,00","0,00",0.0,0,TETE
27.8.2024,"2.950,00",,,"2.950,00","0,00",0.0,0,TETE
26.8.2024,"2.950,00",,,"2.950,00","0,00",0.0,0,TETE
23.8.2024,"2.950,00",,,"2.950,00","0,00",0.0,0,TETE
22.8.2024,"2.950,00",,,"2.950,00","0,00",0.0,0,TETE
21.8.2024,"2.950,00",,,"2.950,00","0,00",0.0,0,TETE
