date,last_transaction_price,max_price,min_price,avg_price,percentage,profit,total_profit,company_code
08.11.2024,"3.300,00",,,"3.300,00","0,00",0,0,SBT
08.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
08.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
07.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
06.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
05.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
04.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
01.11.2024,"3.300,00",,,"3.300,00","0,00",0.0,0,SBT
31.10.2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51",836.0,2.758.800,SBT
30.10.2024,"3.300,00",,,"3.251,03","0,00",0.0,0,SBT
29.10.2024,"3.300,00",,,"3.251,03","0,00",0.0,0,SBT
28.10.2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59",242.0,786.750,SBT
25.10.2024,"3.200,00",,,"3.200,00","0,00",0.0,0,SBT
24.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",150.0,480.000,SBT
22.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",90.0,288.000,SBT
21.10.2024,"3.200,00",,,"3.200,00","0,00",0.0,0,SBT
18.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",111.0,355.200,SBT
17.10.2024,"3.200,00",,,"3.200,00","0,00",0.0,0,SBT
16.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",504.0,1.612.800,SBT
15.10.2024,"3.200,00",,,"3.200,00","0,00",0.0,0,SBT
14.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52",540.0,1.728.000,SBT
10.10.2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52",219.0,711.630,SBT
09.10.2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02",654.0,2.093.308,SBT
08.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",156.0,499.200,SBT
07.10.2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00",1.145,3.663.847,SBT
